Concept,DIF-10
Abstract,1
Acknowledgement,0
Additional Attributes,1
Additional Attributes - Content Information,1
Additional Attributes - Descriptive Keywords,1
Additional Attributes - Geographic Identifier,1
Additional Attributes - Instrument,1
Additional Attributes - Platform,1
Additional Attributes - Platform Orbit Information,1
Additional Attributes - Quality Information,1
Additional Lineage Documentation,0
Additional Resource Documentation,0
Additional Usage Documentation,0
Address,1
Algorithm Citation,0
Alternate Metadata Citation,0
Alternate Resource Title,0
Ancillary Keyword,1
Application Schema Information,0
AssociatedDIFs,0
Association,0
Attribute Accuracy Explanation,0
Attribute Accuracy Report,0
Attribute Accuracy Value,0
Attribute Constraints,0
Attribute Definition,0
Attribute Definition Source,0
Attribute Label,0
Attribute List,0
Author,1
Author / Originator,1
Author / Originator Email Address,1
Author / Originator Identifier,0
Author / Originator Identifier Type,0
Author / Originator World Wide Web Address,0
Award Link,1
Binding,0
Bounding Box,1
Bounding Polygon,0
Browse Description,1
Browse File Name,1
Browse File Size,0
Browse Format,1
Browse URL,1
Caption,1
Center Latitude,0
Center Longitude,0
Cited Resource Alternate Title,0
Cited Resource Identifier,1
Cited Resource Title,1
City,1
Cloud Cover,0
Codeset Domain Codeset Name,0
Codeset Domain Codeset Source,0
Collection Data Type,1
Common Data Model Datatype,0
Complete Citation,0
Completeness Report,0
Confidence,0
Conformance Result,0
Constraint Reference,0
Contact Instructions,0
Contributor Name,0
Contributor Role,0
Coordinate Reference System (CRS),0
Country,1
Coupled Resource,0
Coupled Type,0
Coverage Content Type,0
Coverage Result,0
Data Dates,1
Data Quality Scope,0
Date Type,0
DayNightFlag,0
Descriptive Result,0
Distribution Contact,1
Distribution Format,1
Distribution Liability,0
Easternmost Longitude,1
Editor,1
Email,1
Embargo Date,0
End Time,1
Ends at Present Flag,0
Entity Type Definition,0
Entity Type Definition Source,0
Entity Type Label,0
Enumerated Domain Value,0
Enumerated Domain Value Definition,0
Enumerated Domain Value Definition Source,0
Evaluation Method Description,0
Evaluation Procedure,0
Evaluation Reference,0
Evaluation Reference Document,0
Evaluation Specification,0
Evalulation Method,0
Evalulation Method Type,0
Exclusion GRing Flag,0
Fax,1
Feature Catalogue Citation,0
First Name,1
Format Citation,0
Format of the Online Resource,0
GRing Point Latitude,0
GRing Point Longitude,0
GRing Point Sequence Number,0
Geographic Description,0
Homogeneity,0
Horizontal Positional Accuracy Explanation,0
Horizontal Positional Accuracy Report,0
Horizontal Positional Accuracy Value,0
Host Project Identifier,0
Hours of Service,0
ISBN,1
ISSN,0
Identified Issues Citation,0
Input Granule,0
Instrument,1
Instrument Characteristics,0
Instrument Characteristics Data Type,0
Instrument Characteristics Description,0
Instrument Characteristics Name,0
Instrument Characteristics Unit,0
Instrument Characteristics Value,0
Instrument Citation,0
Instrument Description,0
Instrument Keyword,1
Instrument Keyword Vocabulary,0
Instrument Long Name,1
Instrument Operation Modes,0
Instrument Short Name,1
Instrument Type,0
Instrument UUID,1
Interface,0
Issue,1
Issue Date,0
Keyword,1
Keyword Ontology Citation,0
Keyword Type,0
Keyword Vocabulary,0
Keyword Vocabulary Citation,0
Last Name,1
Latitude Dimension Length,0
Latitude Resolution,0
Lineage Scope,0
Lineage Statement,0
Local Version Identifier,0
Logical Consistency,0
Logical Consistency Report,0
Longitude Dimension Length,0
Longitude Resolution,0
Maintenance,0
Measure,0
Measure Description,0
Measure Identifier,0
Measure Name,0
Measure Source Citation,0
Measure Time,0
Media,1
Medium Reference,0
Metadata Access Constraints,0
Metadata Association,1
Metadata Contact,1
Metadata Dates,1
Metadata Identifier,1
Metadata Language,0
Metadata Modified Date,1
Metadata Profile Citation,0
Metadata Standard Citation,1
Metadata Standard Version,1
Metadata Use Constraints,0
Middle Name,1
Naming Authority,0
Northernmost Latitude,1
Number of Sensors,0
Online Resource,1
Online Resource Description,1
Online Resource Function,0
Online Resource Name/Title,1
Operation Citation,0
Ordering Instructions,0
Organization Name,1
Originating Organization,1
Other Citation Details,1
Overview,0
Overview Citation,0
PGE Name,0
PGE Version,0
Pages,1
Paleo Temporal Coverage,1
Parameter Definition,0
Parameter Name,0
Parameter Name (Long),0
Parameter Name (Standard),0
Parameter Units,0
Parameters Citation,0
Parent Identifier,1
Parent Metadata Reference,0
Party,1
Phone,1
Phone Type,0
Place Keyword,1
Place Keyword Vocabulary,0
Plan Citation,0
Platform,1
Platform Characteristics,0
Platform Characteristics Data Type,0
Platform Characteristics Description,0
Platform Characteristics Name,0
Platform Characteristics Unit,0
Platform Characteristics Value,0
Platform Citation,0
Platform Description,0
Platform Keyword,1
Platform Keyword Vocabulary,0
Platform Long Name,1
Platform Orbit Information,0
Platform Short Name,1
Platform Sponsor,0
Platform Type,0
Platform UUID,1
Point Latitude,0
Point Longitude,0
Portrayal Catalogue Citation,0
Position Name,0
Positional Accuracy Report,0
Postal_Code,1
Precision of Seconds,0
Presentation Form,1
Process Step,0
Process Step Description,0
Process Step Purpose,0
Process Step Reference,0
Process Step Scope,0
Process Step Time,0
Processing Citation,0
Processing Level,1
Processing Software Reference,0
Processor,0
Producer Identifier,0
Product Link,1
Project Contact,0
Project Description,0
Project End Date,1
Project Host,0
Project Keyword,1
Project Name,1
Project Sponsor,0
Project Start Date,1
Project UUID,1
Project Website Link,1
Province or State,1
Publication Date,1
Publication Information,1
Publisher,1
Publisher E-Mail,1
Publisher Location,1
Publisher URL,1
Purpose,1
Quality Statement,1
Quantitative Result,0
Radius Units,0
Range Domain Attribute Resolution,0
Range Domain Maximum Value,0
Range Domain Minimum Value,0
Range Domain Units,0
Related Metadata Citation,0
Related Resource Citation,0
Related Resource Identifier,0
Related URL,1
Release Constraints,0
Report,0
Report Number,1
Representativity,0
Reprocessing Plan Note,0
Requirement Citation,0
Resource Access Constraints,1
Resource Citation,1
Resource Contact,1
Resource Cost or Fees,1
Resource Creation Date,1
Resource Creation/Revision Date,1
Resource Distribution,0
Resource Format,1
Resource Identifier,1
Resource Identifier Type,0
Resource Language,1
Resource Lineage,0
Resource Long Name,0
Resource Quality Description,1
Resource Revision Date,1
Resource Status,1
Resource Title,1
Resource Type,0
Resource Update Frequency,0
Resource Use Constraints,1
Resource Version,1
Resource on-line Link,1
Responsibility,1
Responsible Party Identifier,0
Responsible Party Identifier Type,0
Responsible Party Identifier Type URI,0
Result,0
Rights,0
Role,1
Security Constraints,1
Sensor Characteristics,0
Sensor Characteristics Name,0
Sensor Characteristics Value,0
Sensor Long Name,1
Sensor Short Name,1
Series Title,1
Service,0
Service Location,0
Service Operation Name,0
Service Operation Reference,0
Service Parameters,0
Service Profile Reference,0
Service Provider,0
Service Resource Reference,0
Service Standard Citation,0
Service Type,0
Service Type Version,0
Site,0
Site Location,0
Source,0
Source Citation,0
Source Citation Abbreviation,0
Source Description,0
Source Metadata,0
Source Produced,0
Source Reference System,0
Source Scope,0
Source Step,0
Source Time Period,0
Source Used,0
Southernmost Latitude,1
Spatial Extent,1
Spatial Representation,1
Spatial Resolution,1
Specific Usage,0
Sponsor Project Identifier,0
Standalone Report Citation,0
Standard Name Vocabulary,0
Start Time,1
Supplemental Information,0
Taxonomic Extent,0
Temporal Extent,1
Temporal Keyword,1
Temporal Quality Report,0
Temporal Range Type,0
Temporal Resolution,1
Thematic Accuracy Report,0
Theme Keyword,1
Time Type,0
Topic Category,1
Transfer Size,1
Turnaround,0
TwoDCoordinateSystem,1
Types,0
URL,1
Units,0
Unrepresentable Domain,0
Usability Report,0
Usage Time,0
User Contact,0
User Determined Limitations,0
User Response,0
Version Date,1
Version Description,1
Vertical Dimension Length,0
Vertical Extent,1
Vertical Maximum,1
Vertical Minimum,1
Vertical Positional Accuracy Explanation,0
Vertical Positional Accuracy Report,0
Vertical Positional Accuracy Value,0
Vertical Resolution,1
Volume,1
Web Page,1
Westernmost Longitude,1
