Concept,EML
Abstract,1
Acknowledgement,0
Additional Attributes,0
Additional Lineage Documentation,0
Additional Resource Documentation,0
Additional Usage Documentation,0
Address,0
Algorithm Citation,0
Alternate Metadata Citation,0
Alternate Resource Title,0
Ancillary Keyword,0
Application Schema Information,0
AssociatedDIFs,0
Association,0
Attribute Accuracy Explanation,0
Attribute Accuracy Report,0
Attribute Accuracy Value,0
Attribute Constraints,1
Attribute Definition,1
Attribute Definition Source,0
Attribute Label,0
Attribute List,1
Author,0
Author / Originator,1
Author / Originator Email Address,0
Author / Originator Identifier,0
Author / Originator Identifier Type,0
Author / Originator World Wide Web Address,0
Award Link,0
Binding,0
Bounding Box,1
Bounding Polygon,0
Browse Description,0
Browse File Name,0
Browse File Size,0
Browse Format,0
Browse URL,0
Caption,0
Center Latitude,0
Center Longitude,0
Cited Resource Alternate Title,0
Cited Resource Identifier,0
Cited Resource Title,0
City,0
Cloud Cover,0
Codeset Domain Codeset Name,0
Codeset Domain Codeset Source,0
Common Data Model Datatype,0
Complete Citation,0
Completeness Report,0
Confidence,0
Conformance Result,0
Constraint Reference,0
Contact Instructions,0
Contributor Name,1
Contributor Role,0
Coordinate Reference System (CRS),0
Country,0
Coupled Resource,0
Coupled Type,0
Coverage Content Additional Attributes,0
Coverage Content Type,0
Coverage Result,0
Data Quality Scope,0
Date Type,0
DayNightFlag,0
Descriptive Result,0
Distribution Contact,1
Distribution Format,0
Distribution Liability,0
Easternmost Longitude,1
Editor,0
Email,0
Embargo Date,0
End Time,1
Ends at Present Flag,0
Entity Type Definition,1
Entity Type Definition Source,0
Entity Type Label,0
Enumerated Domain Value,0
Enumerated Domain Value Definition,0
Enumerated Domain Value Definition Source,0
Evaluation Method Description,0
Evaluation Procedure,0
Evaluation Reference,0
Evaluation Reference Document,0
Evaluation Specification,0
Evalulation Method,0
Evalulation Method Type,0
Exclusion GRing Flag,0
Fax,0
Feature Catalogue Citation,0
First Name,0
Format Citation,0
Format of the Online Resource,0
Future Metadata Review Date,0
GRing Point Latitude,0
GRing Point Longitude,0
GRing Point Sequence Number,0
Geographic Description,0
Geographic Identifier Additional Attributes,0
Grid Dimension Count,0
Grid Dimension Resolution,0
Grid Dimension Type Code,0
Homogeneity,0
Horizontal Positional Accuracy Explanation,0
Horizontal Positional Accuracy Report,0
Horizontal Positional Accuracy Value,0
Host Project Identifier,0
Hours of Service,0
ISBN,0
ISSN,0
Identified Issues Citation,0
Image Processing Level,0
Input Granule,0
Instrument,0
Instrument Additional Attributes,0
Instrument Characteristics,0
Instrument Characteristics Data Type,0
Instrument Characteristics Description,0
Instrument Characteristics Name,0
Instrument Characteristics Unit,0
Instrument Characteristics Value,0
Instrument Citation,0
Instrument Description,0
Instrument Keyword,0
Instrument Keyword Vocabulary,0
Instrument Long Name,0
Instrument Operation Modes,0
Instrument Short Name,0
Instrument Type,0
Instrument UUID,0
Interface,0
Issue,0
Issue Date,0
Keyword,1
Keyword Additional Attributes,0
Keyword Ontology Citation,0
Keyword Type,0
Keyword Vocabulary,0
Keyword Vocabulary Citation,0
Last Name,0
Latitude Dimension Length,0
Latitude Resolution,0
Lineage Scope,0
Lineage Statement,0
Local Version Identifier,0
Logical Consistency,0
Logical Consistency Report,0
Longitude Dimension Length,0
Longitude Resolution,0
Maintenance,1
Measure,0
Measure Description,0
Measure Identifier,0
Measure Name,0
Measure Source Citation,0
Measure Time,0
Media,0
Medium Reference,0
Metadata Access Constraints,0
Metadata Contact,1
Metadata Deletion Date,0
Metadata Identifier,0
Metadata Language,0
Metadata Modified Date,0
Metadata Profile Citation,0
Metadata Standard Citation,0
Metadata Standard Version,0
Metadata Use Constraints,0
Middle Name,0
Naming Authority,0
Northernmost Latitude,1
Number of Sensors,0
Online Resource,0
Online Resource Description,0
Online Resource Function,0
Online Resource Name/Title,0
Operation Citation,0
Operation Description,0
Operation Identifier,0
Orbit Information Additional Attributes,0
Ordering Instructions,0
Organization Name,0
Originating Organization,1
Other Citation Details,0
Overview,0
Overview Citation,0
PGE Name,0
PGE Version,0
Pages,0
Paleo-Temporal Coverage,0
Parameter Definition,0
Parameter Name,0
Parameter Name (Long),0
Parameter Name (Standard),0
Parameter Units,0
Parameters Citation,0
Parent Identifier,0
Parent Metadata Reference,0
Phone,0
Phone Type,0
Place Keyword,0
Place Keyword Vocabulary,0
Plan Citation,0
Platform,0
Platform Additional Attributes,0
Platform Characteristics,0
Platform Characteristics Data Type,0
Platform Characteristics Description,0
Platform Characteristics Name,0
Platform Characteristics Unit,0
Platform Characteristics Value,0
Platform Citation,0
Platform Description,0
Platform Keyword,0
Platform Keyword Vocabulary,0
Platform Long Name,0
Platform Orbit Characteristics,0
Platform Short Name,0
Platform Sponsor,0
Platform Type,0
Platform UUID,0
Point Latitude,0
Point Longitude,0
Portrayal Catalogue Citation,0
Position Name,0
Positional Accuracy Report,0
Postal_Code,0
Precision of Seconds,0
Presentation Form,0
Process Step,1
Process Step Description,0
Process Step Purpose,0
Process Step Reference,0
Process Step Scope,0
Process Step Time,0
Processing Citation,0
Processing Level,0
Processing Level Description,0
Processing Software Reference,0
Processor,0
Producer Identifier,0
Product Link,0
Project Contact,0
Project Description,1
Project Host,0
Project Keyword,0
Project Name,0
Project Sponsor,0
Project Website Link,0
Province or State,0
Publication Date,1
Publisher,1
Publisher E-Mail,0
Publisher Location,0
Publisher URL,0
Purpose,1
Quality Additional Attributes,0
Quality Statement,0
Quantitative Result,0
Radius Units,0
Range Domain Attribute Resolution,0
Range Domain Maximum Value,0
Range Domain Minimum Value,0
Range Domain Units,0
Related Metadata Citation,0
Related Resource Citation,0
Related Resource Identifier,0
Release Constraints,0
Report,0
Report Number,0
Representativity,0
Reprocessing Plan Note,0
Requirement Citation,0
Resource Access Constraints,1
Resource Citation,0
Resource Contact,1
Resource Cost or Fees,0
Resource Creation Date,0
Resource Creation/Revision Date,0
Resource Distribution,1
Resource Format,1
Resource Identifier,1
Resource Identifier Description,0
Resource Identifier Type,0
Resource Language,0
Resource Lineage,0
Resource Long Name,0
Resource Quality Description,1
Resource Revision Date,0
Resource Status,0
Resource Title,1
Resource Type,0
Resource Update Frequency,1
Resource Use Constraints,1
Resource Version,0
Resource on-line Link,1
Responsible Party Identifier,0
Responsible Party Identifier Type,0
Responsible Party Identifier Type URI,0
Result,0
Rights,0
Role,0
Security Constraints,0
Sensor Characteristics,0
Sensor Characteristics Name,0
Sensor Characteristics Value,0
Sensor Long Name,0
Sensor Short Name,0
Sensor Technique,0
Series Title,0
Service,0
Service Location,0
Service Operation Name,0
Service Operation Reference,0
Service Parameters,0
Service Profile Reference,0
Service Provider,0
Service Resource Reference,0
Service Standard Citation,0
Service Type,0
Service Type Version,0
Site,0
Site Location,0
Source,0
Source Citation,0
Source Citation Abbreviation,0
Source Description,0
Source Metadata,0
Source Produced,0
Source Reference System,0
Source Scope,0
Source Step,0
Source Time Period,0
Source Used,0
Southernmost Latitude,1
Spatial Extent,1
Spatial Resolution,0
Specific Usage,0
Sponsor Project Identifier,0
Standalone Report Citation,0
Standard Name Vocabulary,0
Start Time,1
Supplemental Information,0
Taxonomic Extent,1
Temporal Extent,1
Temporal Keyword,0
Temporal Quality Report,0
Temporal Range Type,0
Temporal Resolution,0
Thematic Accuracy Report,0
Theme Keyword,1
Time Type,0
Topic Category,0
Transfer Size,0
Turnaround,0
TwoDCoordinateSystem,0
Types,0
URL,0
Units,0
Unrepresentable Domain,0
Usability Report,0
Usage Time,0
User Contact,0
User Determined Limitations,0
User Response,0
Version Date,0
Version Description,0
Vertical Dimension Length,0
Vertical Extent,0
Vertical Maximum,0
Vertical Minimum,0
Vertical Positional Accuracy Explanation,0
Vertical Positional Accuracy Report,0
Vertical Positional Accuracy Value,0
Vertical Resolution,0
Volume,0
Web Page,0
Westernmost Longitude,1
